Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2023,2818.00,2828.95,2780.10,2790.05,2793.741781289630279972,92259,6420,257747823.00,65663,71.17,48.85,-27.95
10-February-2023,2835.40,2835.40,2792.95,2804.90,2810.674457637710918667,56005,7429,157411823.00,25397,45.35,42.45,-30.50
9-February-2023,2784.00,2819.25,2768.55,2815.30,2795.112615566192380827,30502,3565,85256525.00,14987,49.13,50.70,31.30
8-February-2023,2762.15,2784.45,2744.00,2765.55,2764.778749299735272471,91037,8175,251697163.00,59965,65.87,40.45,3.40
7-February-2023,2760.00,2774.60,2748.55,2758.25,2764.178730671951187713,76702,7961,212018037.00,50044,65.24,26.05,-1.75
6-February-2023,2760.15,2766.35,2718.05,2755.70,2738.531643075306249794,30449,3829,83385550.00,14607,47.97,48.30,-4.45
3-February-2023,2710.00,2764.00,2700.45,2760.15,2735.802558422697199524,68167,9136,186491453.00,31161,45.71,63.55,50.15
2-February-2023,2773.65,2773.65,2694.05,2705.85,2717.564882943143812709,44850,6934,121882785.00,30026,66.95,79.60,-67.80
1-February-2023,2758.25,2777.85,2705.60,2743.70,2749.773815399802566633,72936,11702,200557503.00,35235,48.31,72.25,-14.55
31-January-2023,2770.00,2781.95,2719.20,2726.60,2739.544213547437830375,110102,16304,301629297.00,68417,62.14,62.75,-43.40
30-January-2023,2726.60,2776.50,2693.95,2766.20,2733.001675233745221288,69841,13526,190875570.00,37088,53.10,82.55,39.60
27-January-2023,2774.00,2774.00,2686.15,2726.60,2719.612699396742888480,83878,13789,228115674.00,62994,75.10,87.85,-47.40
25-January-2023,2810.30,2812.00,2767.85,2774.00,2778.238309217818519517,33381,5365,92740373.00,20726,62.09,44.15,-36.30
24-January-2023,2791.05,2827.75,2785.05,2810.30,2811.373061469265367316,83375,11135,234398229.00,41292,49.53,42.70,19.25
23-January-2023,2789.55,2800.00,2766.50,2785.75,2786.447181746300689031,88530,14699,246684169.00,58263,65.81,33.50,-3.80
20-January-2023,2850.10,2850.10,2782.50,2788.10,2804.770024855888730234,189090,39121,530353964.00,100786,53.30,67.60,-62.00
19-January-2023,2957.00,2972.10,2853.00,2868.05,2909.933045937320528944,137557,21668,400281660.00,50670,36.84,119.10,-88.95
18-January-2023,2951.00,2960.00,2930.75,2945.85,2948.765547993428772588,29827,5017,87952830.00,11159,37.41,29.25,-5.15
17-January-2023,2925.00,2944.95,2912.20,2941.35,2933.638244879573938157,37741,5581,110718441.00,13710,36.33,32.75,16.35
16-January-2023,2933.95,2933.95,2897.00,2917.05,2913.676978108456145371,34945,6893,101818442.00,18111,51.83,36.95,-16.90
13-January-2023,2917.00,2924.70,2872.45,2909.20,2899.446150381020308570,26639,3751,77238346.00,17343,65.10,52.25,-7.80
12-January-2023,2940.60,2941.05,2897.00,2915.80,2905.735273698264352469,37450,7147,108819786.00,24767,66.13,44.05,-24.80
11-January-2023,2975.15,2975.15,2936.30,2940.15,2948.520366786471292968,43404,8761,127977578.00,24306,56.00,38.85,-35.00
10-January-2023,2989.95,2989.95,2953.05,2960.45,2963.954742759553120330,14053,2218,41652456.00,7474,53.18,36.90,-29.50
9-January-2023,2999.95,3017.35,2951.20,2982.90,2985.622620116748989672,89080,14895,265959263.00,45640,51.23,66.15,-17.05
6-January-2023,3005.05,3023.85,2953.00,2979.30,2973.687643369681902932,88495,18651,263156488.00,60733,68.63,70.85,-25.75
5-January-2023,3035.10,3047.00,2995.95,3004.90,3014.340585146286571642,19995,3167,60271740.00,10585,52.94,51.05,-30.20
4-January-2023,3038.90,3048.00,3001.00,3016.05,3029.221648896744398198,35078,6316,106259037.00,15995,45.60,47.00,-22.85
3-January-2023,3054.90,3060.20,3025.00,3028.50,3036.933422174840085287,37520,5869,113945742.00,28088,74.86,35.20,-26.40
2-January-2023,3091.90,3091.90,3021.10,3046.35,3043.307097010539812405,131027,13272,398755399.00,99524,75.96,70.80,-45.55
30-December-2022,3123.05,3135.25,3072.30,3091.80,3099.677019548773699204,61078,5385,189322073.00,43025,70.44,62.95,-31.25
29-December-2022,3101.00,3120.00,3093.00,3115.30,3106.095735277869848635,18102,3504,56226545.00,7235,39.97,27.00,14.30
28-December-2022,3112.00,3142.00,3104.90,3124.00,3126.934901316963489060,28019,2477,87613589.00,15468,55.21,37.10,12.00
27-December-2022,3062.00,3130.00,3057.00,3109.80,3101.417633513417766362,45164,7905,140072426.00,24402,54.03,73.00,47.80
26-December-2022,3057.00,3071.35,3030.00,3057.50,3058.222026143790849673,45900,4829,140372391.00,30596,66.66,41.35,0.50
23-December-2022,3055.00,3085.00,3035.60,3056.75,3054.709922676243165421,92727,15696,283254087.00,55054,59.37,49.40,1.75
22-December-2022,3066.00,3094.40,3038.05,3090.85,3071.518415637860082304,77760,11472,238841272.00,49428,63.56,56.35,24.85
