Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-October-2022,100.65,101.45,99.35,100.15,100.288244345963928274,2488930,18115,249610420.00,801835,32.22,2.10,-0.50
20-October-2022,99.50,101.10,98.80,100.90,100.049113754744619500,3573785,21505,357554022.00,1036688,29.01,2.30,1.40
19-October-2022,100.60,101.20,99.70,100.05,100.583170787474095259,2331137,8139,234473151.00,558571,23.96,1.50,-0.55
18-October-2022,100.10,101.00,99.80,100.60,100.521525468450133731,2827302,17198,284204710.00,1189618,42.08,1.20,0.50
17-October-2022,99.85,100.40,98.10,99.55,99.955437561088285303,12754082,25318,1274839847.00,10507943,82.39,2.30,-0.30
14-October-2022,101.60,102.70,99.85,100.10,101.344910995131827309,3020846,20087,306147369.00,1297315,42.95,2.85,-1.50
13-October-2022,100.70,101.80,98.85,100.10,100.031314972703620692,3107555,27009,310852813.00,1193277,38.40,2.95,-0.60
12-October-2022,100.50,101.15,99.00,100.55,100.175279032226117614,2423376,13098,242762367.00,533956,22.03,2.15,0.05
11-October-2022,103.30,103.50,99.90,100.30,102.793611637315606950,12749057,29045,1310521614.00,10694544,83.88,3.60,-3.00
10-October-2022,102.00,103.90,101.20,103.25,102.390385312788504108,1748242,11390,179003172.00,492109,28.15,2.70,1.25
