Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-October-2022,39.35,39.95,39.20,39.55,39.551943649239114057,212384,1417,8400200.00,81964,38.59,0.75,0.20
11-October-2022,40.40,40.70,39.50,39.70,40.095899021473226420,412048,1795,16521435.00,124848,30.30,1.20,-0.70
10-October-2022,40.15,40.95,40.15,40.40,40.573774048573136443,225845,1630,9163384.00,102078,45.20,0.80,0.25
7-October-2022,41.85,41.85,40.80,41.20,41.182359205148630855,365301,2264,15043957.00,150342,41.16,1.05,-0.65
6-October-2022,41.15,42.35,40.30,41.85,41.174504919776615548,1128100,5539,46448959.00,363289,32.20,2.05,0.70
4-October-2022,38.35,39.00,38.30,38.45,38.499382003743877734,194985,1443,7506802.00,69902,35.85,0.70,0.10
3-October-2022,38.90,39.45,37.70,38.10,38.653518664149105613,250507,1152,9682977.00,49190,19.64,1.75,-0.80
30-September-2022,36.80,39.70,36.55,39.00,37.762172021509444159,370070,2776,13974647.00,120647,32.60,3.15,2.20
29-September-2022,38.20,38.35,36.40,37.05,37.593553151040738929,308771,2187,11607799.00,135362,43.84,1.95,-1.15
28-September-2022,37.60,37.95,37.50,37.70,37.733339884052274737,203540,1752,7680244.00,92297,45.35,0.45,0.10
27-September-2022,37.90,38.50,37.60,37.80,37.976043215578949448,404854,2563,15374753.00,165075,40.77,0.90,-0.10
26-September-2022,39.10,39.70,37.75,37.95,38.220015204266660356,338063,2044,12920773.00,130087,38.48,1.95,-1.15
